county,stname,ctyname,variable,value,year.label
510,Maryland,Baltimore city,popestimate2016,615849,2016
000,Maryland,Maryland,popestimate2017,6024891,2017
001,Maryland,Allegany County,popestimate2017,71386,2017
003,Maryland,Anne Arundel County,popestimate2017,571592,2017
005,Maryland,Baltimore County,popestimate2017,828603,2017
009,Maryland,Calvert County,popestimate2017,91365,2017
011,Maryland,Caroline County,popestimate2017,33108,2017
013,Maryland,Carroll County,popestimate2017,167620,2017
015,Maryland,Cecil County,popestimate2017,102573,2017
017,Maryland,Charles County,popestimate2017,159451,2017
019,Maryland,Dorchester County,popestimate2017,32145,2017
021,Maryland,Frederick County,popestimate2017,250959,2017
023,Maryland,Garrett County,popestimate2017,29261,2017
025,Maryland,Harford County,popestimate2017,251890,2017
027,Maryland,Howard County,popestimate2017,319374,2017
029,Maryland,Kent County,popestimate2017,19437,2017
031,Maryland,Montgomery County,popestimate2017,1048244,2017
033,Maryland,Prince George's County,popestimate2017,908801,2017
035,Maryland,Queen Anne's County,popestimate2017,49667,2017
037,Maryland,St. Mary's County,popestimate2017,112413,2017
039,Maryland,Somerset County,popestimate2017,25913,2017
041,Maryland,Talbot County,popestimate2017,37020,2017
043,Maryland,Washington County,popestimate2017,150288,2017
045,Maryland,Wicomico County,popestimate2017,102363,2017
047,Maryland,Worcester County,popestimate2017,51577,2017
510,Maryland,Baltimore city,popestimate2017,609841,2017
000,Maryland,Maryland,popestimate2018,6042718,2018
001,Maryland,Allegany County,popestimate2018,70975,2018
003,Maryland,Anne Arundel County,popestimate2018,576031,2018
005,Maryland,Baltimore County,popestimate2018,828431,2018
009,Maryland,Calvert County,popestimate2018,92003,2018
011,Maryland,Caroline County,popestimate2018,33304,2018
013,Maryland,Carroll County,popestimate2018,168429,2018
015,Maryland,Cecil County,popestimate2018,102826,2018
017,Maryland,Charles County,popestimate2018,161503,2018
019,Maryland,Dorchester County,popestimate2018,31998,2018
021,Maryland,Frederick County,popestimate2018,255648,2018
023,Maryland,Garrett County,popestimate2018,29163,2018
025,Maryland,Harford County,popestimate2018,253956,2018
027,Maryland,Howard County,popestimate2018,323196,2018
029,Maryland,Kent County,popestimate2018,19383,2018
031,Maryland,Montgomery County,popestimate2018,1052567,2018
033,Maryland,Prince George's County,popestimate2018,909308,2018
035,Maryland,Queen Anne's County,popestimate2018,50251,2018
037,Maryland,St. Mary's County,popestimate2018,112664,2018
039,Maryland,Somerset County,popestimate2018,25675,2018
041,Maryland,Talbot County,popestimate2018,36968,2018
043,Maryland,Washington County,popestimate2018,150926,2018
045,Maryland,Wicomico County,popestimate2018,103195,2018
047,Maryland,Worcester County,popestimate2018,51823,2018
510,Maryland,Baltimore city,popestimate2018,602495,2018
000,Maryland,Maryland,npopchg_2010,14844,2010
001,Maryland,Allegany County,npopchg_2010,-81,2010
003,Maryland,Anne Arundel County,npopchg_2010,1646,2010
005,Maryland,Baltimore County,npopchg_2010,1331,2010
009,Maryland,Calvert County,npopchg_2010,249,2010
011,Maryland,Caroline County,npopchg_2010,-24,2010
013,Maryland,Carroll County,npopchg_2010,70,2010
015,Maryland,Cecil County,npopchg_2010,65,2010
017,Maryland,Charles County,npopchg_2010,591,2010
019,Maryland,Dorchester County,npopchg_2010,65,2010
021,Maryland,Frederick County,npopchg_2010,813,2010
023,Maryland,Garrett County,npopchg_2010,2,2010
025,Maryland,Harford County,npopchg_2010,409,2010
027,Maryland,Howard County,npopchg_2010,1505,2010
029,Maryland,Kent County,npopchg_2010,17,2010
031,Maryland,Montgomery County,npopchg_2010,4323,2010
033,Maryland,Prince George's County,npopchg_2010,2398,2010
035,Maryland,Queen Anne's County,npopchg_2010,20,2010
037,Maryland,St. Mary's County,npopchg_2010,619,2010
039,Maryland,Somerset County,npopchg_2010,-6,2010
041,Maryland,Talbot County,npopchg_2010,97,2010
043,Maryland,Washington County,npopchg_2010,304,2010
045,Maryland,Wicomico County,npopchg_2010,238,2010
047,Maryland,Worcester County,npopchg_2010,50,2010
